input_id,defined_in,server_refs_count,server_refs_sample
max_p,ui.R,7,"iramuteqlite/server_events_lancer_iramuteq.R:1268:            termes_signif <- unique(subset(res_stats_df, p <= input$max_p)$Terme) | iramuteqlite/server_events_lancer_iramuteq.R:1281:              seuil_p = if (isTRUE(filtrer_affichage_pvalue)) input$max_p else 1, | iramuteqlite/server_events_lancer_iramuteq.R:1343:                seuil_p = if (isTRUE(filtrer_affichage_pvalue)) input$max_p else 1, | iramuteqlite/server_events_lancer_iramuteq.R:1443:              df_stats_cl <- subset(res_stats_df, Classe == cl & p <= input$max_p) | iramuteqlite/server_events_lancer_iramuteq.R:1478:              max_p = input$max_p | iramuteqlite/server_events_lancer_iramuteq.R:1516:            max_p = if (isTRUE(input$filtrer_affichage_pvalue)) input$max_p else 1, | ..."
min_docfreq,ui.R,2,"iramuteqlite/server_events_lancer_iramuteq.R:563:      min_docfreq_val <- lire_min_docfreq_manuel(input$min_docfreq, valeur_defaut = 3L) | iramuteqlite/server_events_lancer_iramuteq.R:886:          min_docfreq_val <- lire_min_docfreq_manuel(input$min_docfreq, valeur_defaut = 3L)"
modele_chd,ui.R,2,"iramuteqlite/server_events_lancer_iramuteq.R:603:    observeEvent(input$modele_chd, { | iramuteqlite/server_events_lancer_iramuteq.R:1528:          mode_iramuteq_actif <- identical(as.character(input$modele_chd), ""iramuteq"") ||"
nettoyage_caracteres,ui.R,2,"iramuteqlite/server_events_lancer_iramuteq.R:939:            activer_nettoyage = isTRUE(input$nettoyage_caracteres), | iramuteqlite/server_events_lancer_iramuteq.R:990:              "" | nettoyage_caracteres="", ifelse(isTRUE(input$nettoyage_caracteres), ""1"", ""0"")"
pos_lexique_a_conserver,ui.R,1,iramuteqlite/server_events_lancer_iramuteq.R:524:        morpho_selection <- toupper(trimws(as.character(input$pos_lexique_a_conserver)))
remplacer_tirets_espaces,ui.R,2,"iramuteqlite/server_events_lancer_iramuteq.R:943:            remplacer_tirets_espaces = isTRUE(input$remplacer_tirets_espaces) | iramuteqlite/server_events_lancer_iramuteq.R:989:              "" | remplacer_tirets_espaces="", ifelse(isTRUE(input$remplacer_tirets_espaces), ""1"", ""0""),"
retirer_stopwords,ui.R,3,"iramuteqlite/server_events_lancer_iramuteq.R:464:      if (isTRUE(input$retirer_stopwords)) { | iramuteqlite/server_events_lancer_iramuteq.R:507:      if (isTRUE(input$retirer_stopwords)) { | iramuteqlite/server_events_lancer_iramuteq.R:985:              "" | retirer_stopwords="", ifelse(isTRUE(input$retirer_stopwords), ""1"", ""0""),"
segment_size,ui.R,1,iramuteqlite/server_events_lancer_iramuteq.R:847:          segment_size <- input$segment_size
source_dictionnaire,ui.R,1,"iramuteqlite/server_events_lancer_iramuteq.R:518:      if (isTRUE(input$filtrage_morpho) && identical(input$source_dictionnaire, ""lexique_fr"")) {"
supprimer_apostrophes,ui.R,2,"iramuteqlite/server_events_lancer_iramuteq.R:942:            supprimer_apostrophes = isTRUE(input$supprimer_apostrophes), | iramuteqlite/server_events_lancer_iramuteq.R:988:              "" | supprimer_apostrophes="", ifelse(isTRUE(input$supprimer_apostrophes), ""1"", ""0""),"
supprimer_chiffres,ui.R,7,"iramuteqlite/server_events_lancer_iramuteq.R:476:        remove_numbers = isTRUE(input$supprimer_chiffres) | iramuteqlite/server_events_lancer_iramuteq.R:875:              remove_numbers = isTRUE(input$supprimer_chiffres) | iramuteqlite/server_events_lancer_iramuteq.R:883:              remove_numbers = isTRUE(input$supprimer_chiffres) | iramuteqlite/server_events_lancer_iramuteq.R:941:            supprimer_chiffres = isTRUE(input$supprimer_chiffres), | iramuteqlite/server_events_lancer_iramuteq.R:951:            remove_numbers = isTRUE(input$supprimer_chiffres), | iramuteqlite/server_events_lancer_iramuteq.R:962:            remove_numbers = isTRUE(input$supprimer_chiffres) | ..."
supprimer_ponctuation,ui.R,6,"iramuteqlite/server_events_lancer_iramuteq.R:475:        remove_punct = isTRUE(input$supprimer_ponctuation), | iramuteqlite/server_events_lancer_iramuteq.R:874:              remove_punct = isTRUE(input$supprimer_ponctuation), | iramuteqlite/server_events_lancer_iramuteq.R:882:              remove_punct = isTRUE(input$supprimer_ponctuation), | iramuteqlite/server_events_lancer_iramuteq.R:950:            remove_punct = isTRUE(input$supprimer_ponctuation), | iramuteqlite/server_events_lancer_iramuteq.R:961:            remove_punct = isTRUE(input$supprimer_ponctuation), | iramuteqlite/server_events_lancer_iramuteq.R:986:              "" | supprimer_ponctuation="", ifelse(isTRUE(input$supprimer_ponctuation), ""1"", ""0""),"
top_n,ui.R,2,"iramuteqlite/server_events_lancer_iramuteq.R:1439:            top_n_demande <- lire_top_n_wordcloud(input$top_n) | iramuteqlite/server_events_lancer_iramuteq.R:1476:              top_n = lire_top_n_wordcloud(input$top_n),"
